section,product,nut_free,vegan,notes
Phillips Chocolate,Turtles 9pc Assortment Box,no,no,"Contains milk/soy and nuts such as almonds, cashews and pecans; shared equipment with peanuts/tree nuts and other allergens."
Phillips Chocolate,9 Pack Sea Salt Caramels,not_guaranteed,no,"Contains milk/soy; shared equipment with peanuts, tree nuts, egg and wheat."
Phillips Chocolate,Phillips Chocolate Princess Assortment Box,not_guaranteed,no,Assorted milk/dark chocolates; contains dairy and nut cross-contact cannot be guaranteed.
Phillips Chocolate,Peanut Butter Bark,no,no,Contains peanuts and milk.
Phillips Chocolate,Phillips Chocolate S'mores Bar,not_guaranteed,no,"Contains milk, soy, wheat, gelatin and egg."
Phillips Chocolate,Phillips Chocolate Covered Turtle Fudge,no,no,"Contains pecans, caramel/fudge and chocolate/dairy."
Phillips Chocolate,Phillips Chocolate Milk Chocolate Bar,not_guaranteed,no,Contains milk and soy; shared equipment with peanuts/tree nuts and other allergens.
Phillips Chocolate,Phillips Chocolate Dark Chocolate Bar,not_guaranteed,no,Contains milk/butterfat and soy; shared equipment with peanuts/tree nuts and other allergens.
Cape Cod Provisions,Chocolate Sea Salt caramel,not_guaranteed,no,Nuts are used in the facility and cannot guarantee products are completely free of traces of nuts. Contains milk.
Cape Cod Provisions,Penuche not nuts,not_guaranteed,no,Nuts are used in the facility and cannot guarantee products are completely free of traces of nuts. Contains milk.
Cape Cod Provisions,Chocolate,not_guaranteed,no,Nuts are used in the facility and cannot guarantee products are completely free of traces of nuts. Contains milk.
Cape Cod Provisions,Pistachio,no,no,Nuts are used in the facility and cannot guarantee products are completely free of traces of nuts. Contains milk.
