ref,source_name,source_price_cents,source,observed_on,notes
D01,Small Strawberry Dubai Chocolate Cup,1295,doordash,2026-09-25,channel price; never a website price
D02,Large Strawberry Dubai Chocolate Cup,2395,doordash,2026-09-25,channel price; never a website price
D03,10 Pieces Mini Pancakes,1295,doordash,2026-09-25,channel price; never a website price
D04,10 Pieces Dubai Chocolate Pancakes,1495,doordash,2026-09-25,channel price; never a website price
D05,Macarons — box of 12,1795,doordash,2026-09-25,not in Clover observations; needs approved direct-site price
D06,"Swedish Candy Bag — 8 oz, includes Bubs",1795,doordash,2026-09-25,not in Clover observations; needs approved direct-site price
D07,Phillips Chocolate S'mores Bar,595,doordash,2026-09-25,channel price; never a website price
D08,Phillips Milk Chocolate Bar,595,doordash,2026-09-25,channel price; never a website price
D09,Phillips Dark Chocolate Bar,595,doordash,2026-09-25,channel price; never a website price
D10,Chocolate Covered Gummy Bears,1295,doordash,2026-09-25,channel price; never a website price
D11,Dark Chocolate Covered Almonds,1295,doordash,2026-09-25,channel price; never a website price
D12,Milk Chocolate Covered Raisins,1295,doordash,2026-09-25,channel price; never a website price
